features_rating,security_rating,recommend_rating,features_valuable,competitors_do_well,similarities,sentiment
3,2,2,Ease of Use,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,neutral
3,5,3,Ease of Use,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,Quisque ut erat. Curabitur gravida nisi at nibh.,positive
2,4,3,Security Features,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",negative
2,5,1,Security Features,Nulla mollis molestie lorem. Quisque ut erat.,Mauris ullamcorper purus sit amet nulla.,negative
5,4,4,Security Features,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,neutral
3,2,2,Transaction Management,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Praesent lectus.,neutral
3,5,3,Ease of Use,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,positive
3,1,5,Transaction Management,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",negative
5,2,2,Ease of Use,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,negative
1,5,2,Security Features,Nam dui.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",negative
4,2,2,Transaction Management,Nulla tellus.,Donec ut dolor.,neutral
2,3,3,Ease of Use,Integer tincidunt ante vel ipsum.,Nullam porttitor lacus at turpis.,negative
4,5,1,Transaction Management,Donec ut dolor.,Nulla ut erat id mauris vulputate elementum.,negative
5,2,2,Ease of Use,Integer ac neque. Duis bibendum.,Vivamus vestibulum sagittis sapien.,negative
1,3,1,Security Features,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,Maecenas tincidunt lacus at velit.,negative
2,1,5,Security Features,Nulla ut erat id mauris vulputate elementum.,Donec semper sapien a libero. Nam dui.,positive
3,2,2,Ease of Use,Etiam faucibus cursus urna.,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",neutral
5,1,1,Security Features,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",positive
2,2,5,Security Features,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,positive
3,5,5,Transaction Management,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Aliquam erat volutpat.,negative
1,1,2,Transaction Management,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",negative
1,2,1,Ease of Use,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,neutral
5,2,2,Transaction Management,Proin eu mi. Nulla ac enim.,Duis bibendum. Morbi non quam nec dui luctus rutrum.,negative
5,1,1,Ease of Use,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,neutral
1,3,5,Ease of Use,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.","Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",neutral
5,5,1,Transaction Management,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Suspendisse potenti. In eleifend quam a odio.,neutral
4,5,1,Transaction Management,Donec ut mauris eget massa tempor convallis.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",neutral
1,2,3,Ease of Use,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",neutral
1,2,4,Transaction Management,Praesent blandit. Nam nulla.,Praesent blandit.,positive
1,1,2,Transaction Management,Aenean fermentum.,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",neutral
3,3,2,Transaction Management,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",positive
2,3,1,Transaction Management,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Pellentesque at nulla.,positive
4,3,4,Ease of Use,Maecenas pulvinar lobortis est.,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",negative
4,5,4,Transaction Management,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",negative
2,5,5,Transaction Management,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",positive
2,5,3,Transaction Management,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Proin interdum mauris non ligula pellentesque ultrices.,neutral
4,5,4,Ease of Use,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",neutral
2,5,2,Security Features,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",neutral
1,2,3,Security Features,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Maecenas rhoncus aliquam lacus.,neutral
3,4,5,Transaction Management,In quis justo. Maecenas rhoncus aliquam lacus.,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",neutral
2,5,4,Security Features,Suspendisse potenti.,Fusce consequat. Nulla nisl. Nunc nisl.,negative
3,3,3,Ease of Use,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,positive
4,2,5,Transaction Management,Suspendisse accumsan tortor quis turpis. Sed ante.,Proin risus. Praesent lectus.,neutral
2,5,3,Ease of Use,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.","Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",negative
1,5,5,Security Features,Suspendisse potenti.,Etiam justo.,neutral
5,2,2,Ease of Use,Maecenas pulvinar lobortis est.,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,negative
5,3,3,Ease of Use,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Aenean sit amet justo. Morbi ut odio.,positive
2,2,2,Ease of Use,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",positive
2,3,4,Security Features,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",positive
1,3,5,Security Features,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Cras in purus eu magna vulputate luctus.,positive
1,3,4,Security Features,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",negative
1,4,3,Transaction Management,Curabitur at ipsum ac tellus semper interdum.,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,neutral
1,2,3,Ease of Use,Aliquam erat volutpat. In congue.,Duis consequat dui nec nisi volutpat eleifend.,negative
5,1,1,Ease of Use,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",positive
2,2,5,Security Features,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",negative
2,1,1,Security Features,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Duis ac nibh.,neutral
2,3,4,Transaction Management,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",positive
4,3,3,Ease of Use,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,positive
5,3,1,Transaction Management,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",positive
5,3,5,Transaction Management,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",neutral
2,4,3,Ease of Use,Ut tellus. Nulla ut erat id mauris vulputate elementum.,Morbi quis tortor id nulla ultrices aliquet.,negative
4,4,4,Ease of Use,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Nullam molestie nibh in lectus. Pellentesque at nulla.,negative
1,2,4,Security Features,Fusce consequat.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",negative
1,2,5,Security Features,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Proin at turpis a pede posuere nonummy.,positive
2,4,5,Security Features,Nam tristique tortor eu pede.,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",neutral
4,4,1,Ease of Use,Nam dui.,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,positive
4,2,4,Ease of Use,Nullam molestie nibh in lectus. Pellentesque at nulla.,Nulla tellus.,negative
4,2,4,Ease of Use,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,neutral
4,2,5,Transaction Management,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,positive
3,2,3,Ease of Use,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",neutral
3,4,4,Security Features,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Aliquam erat volutpat. In congue.,positive
3,4,4,Security Features,Nullam molestie nibh in lectus. Pellentesque at nulla.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",negative
2,4,1,Transaction Management,Proin eu mi.,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",negative
1,5,2,Transaction Management,Vestibulum ac est lacinia nisi venenatis tristique.,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",positive
4,5,1,Ease of Use,Etiam faucibus cursus urna. Ut tellus.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",negative
1,4,1,Ease of Use,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",negative
3,5,2,Security Features,Pellentesque ultrices mattis odio. Donec vitae nisi.,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",negative
4,2,4,Security Features,Sed accumsan felis. Ut at dolor quis odio consequat varius.,Vivamus vel nulla eget eros elementum pellentesque.,neutral
1,3,2,Transaction Management,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,neutral
1,5,1,Security Features,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.","Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",neutral
4,3,5,Transaction Management,Morbi non quam nec dui luctus rutrum. Nulla tellus.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",positive
1,3,1,Transaction Management,Praesent blandit.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",neutral
1,3,5,Transaction Management,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",positive
1,5,3,Transaction Management,Nam dui.,Duis aliquam convallis nunc.,positive
2,5,5,Ease of Use,Nulla mollis molestie lorem. Quisque ut erat.,Praesent lectus.,neutral
5,4,3,Transaction Management,Vivamus vestibulum sagittis sapien.,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,positive
2,1,1,Security Features,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Nullam molestie nibh in lectus.,neutral
5,1,3,Ease of Use,Maecenas pulvinar lobortis est.,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",negative
3,2,3,Ease of Use,Nunc purus.,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,negative
5,2,1,Transaction Management,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,negative
1,1,4,Security Features,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",negative
2,2,2,Security Features,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,neutral
2,2,4,Transaction Management,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,positive
5,2,4,Transaction Management,Maecenas tincidunt lacus at velit.,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",neutral
2,4,2,Security Features,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Etiam pretium iaculis justo.,negative
5,3,3,Ease of Use,Morbi non quam nec dui luctus rutrum. Nulla tellus.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",negative
4,2,3,Security Features,Sed accumsan felis. Ut at dolor quis odio consequat varius.,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,neutral
5,3,5,Transaction Management,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",neutral
4,1,2,Transaction Management,Pellentesque viverra pede ac diam.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",negative
1,3,1,Ease of Use,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",neutral
1,3,5,Transaction Management,Praesent blandit. Nam nulla.,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",negative
2,1,4,Ease of Use,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.","Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",negative
3,3,3,Transaction Management,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Aliquam erat volutpat. In congue.,negative
1,2,2,Transaction Management,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Fusce posuere felis sed lacus.,negative
4,3,2,Security Features,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Sed sagittis.,neutral
2,1,5,Security Features,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Sed vel enim sit amet nunc viverra dapibus.,negative
1,5,1,Ease of Use,Aliquam quis turpis eget elit sodales scelerisque.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",positive
2,3,2,Security Features,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",negative
1,4,5,Transaction Management,Suspendisse accumsan tortor quis turpis. Sed ante.,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",negative
3,1,3,Transaction Management,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Praesent id massa id nisl venenatis lacinia.,neutral
2,3,2,Transaction Management,Suspendisse potenti.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",positive
5,2,1,Ease of Use,Nullam varius.,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",positive
2,3,3,Security Features,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",negative
3,4,5,Ease of Use,Donec ut dolor.,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,neutral
4,4,3,Ease of Use,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",negative
2,2,2,Security Features,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",In hac habitasse platea dictumst. Etiam faucibus cursus urna.,neutral
1,1,3,Security Features,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,positive
3,1,1,Transaction Management,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,positive
3,3,2,Ease of Use,Suspendisse potenti.,Ut tellus. Nulla ut erat id mauris vulputate elementum.,negative
2,4,2,Transaction Management,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Cras non velit nec nisi vulputate nonummy.,negative
4,5,2,Security Features,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,In eleifend quam a odio. In hac habitasse platea dictumst.,neutral
1,3,1,Ease of Use,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Integer a nibh. In quis justo.,neutral
2,1,4,Ease of Use,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",neutral
3,3,2,Ease of Use,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.","Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",positive
2,5,5,Security Features,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",neutral
3,5,5,Transaction Management,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Etiam faucibus cursus urna. Ut tellus.,positive
2,1,4,Transaction Management,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",negative
